Kaynak Pin,Net,Bagli Oldugu Pinler
C8.2,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
C9.1,LCD_3V3,"J2.1, U2.16"
C9.2,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
J1.13,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
J1.14,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
J1.A1B12,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
J1.A4B9,VBUS,"C2.1, C6.1, J1.B4A9, U2.37"
J1.A5,CC1,R4.2
J1.A6,USB_DP,"J1.B6, U1.14"
J1.A7,USB_DM,"J1.B7, U1.13"
J1.A8,NC__J1__A8,-
J1.B1A12,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
J1.B4A9,VBUS,"C2.1, C6.1, J1.A4B9, U2.37"
J1.B5,CC2,R5.1
J1.B6,USB_DP,"J1.A6, U1.14"
J1.B7,USB_DM,"J1.A7, U1.13"
J1.B8,NC__J1__B8,-
J2.1,LCD_3V3,"C9.1, U2.16"
J2.10,I2C_SCL,"R7.1, U1.22, U2.40, U3.4, U4.1"
J2.11,I2C_SDA,"R6.1, U1.8, U2.39, U3.3, U4.19"
J2.12,CTP_RST,U1.24
J2.13,CTP_INT,U1.23
J2.14,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
J2.15,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
J2.16,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
